user,waktu,review,label,clean_text,prediksi_model
Okky Tiara,4 tahun lalu,"Naik ke kawah pake ojek, bisa jalan kaki tapi butuh waktu yang lama. Sepanjang perjalanan ada nenas, alpukat, pete, dan durian.",negatif,naik ke kawah pake ojek bisa jalan kaki tapi butuh waktu yang lama panjang jalan ada nenas alpukat pete dan durian,negatif
Widhy channel,3 tahun lalu,"Pemandangannya sangat bagus,
Tempat ini sempat di tutup krena meletus tahun 2014... …",positif,pandang sangat bagus tempat ini sempat di tutup krena letus tahun,positif
Achmad Rofian,11 bulan lalu,Pemandangannya sangat bagus dan indah😆 …,positif,pandang sangat bagus dan indah,positif
Anjar Sari Art,7 tahun lalu,"Saat sesudah gunung kelud meletus jembatan menuju gunung kelud tidak bisa di akses.. Hanya bisa sampai titik pantau gunung kelud saja, tiket masuk gunung kelud lumayan mahal saat hari libur, lalu mengendarai montor hanya boleh sampai …",negatif,saat sudah gunung kelud letus jembatan tuju gunung kelud tidak bisa di akses hanya bisa sampai titik pantau gunung kelud saja tiket masuk gunung kelud lumayan mahal saat hari libur lalu kendara montor hanya boleh sampai,negatif
Regavit Setyo Haryono,7 tahun lalu,"Pemandangan indah, suasana sejuk cenderung dingin,  ada fasilitas umum seperti toilet, tempat makan dan mushola, terakhir saya ke sini tanggal 2 Desember 2018 bertepatan hari minggu untuk tiket masuk sebesar Rp 10.000,- nanti bisa masuk …",positif,pandang indah suasana sejuk cenderung dingin ada fasilitas umum seperti toilet tempat makan dan mushola akhir saya ke sini tanggal desember tepat hari minggu untuk tiket masuk besar rp nanti bisa masuk,positif
Ari agung Agung,setahun lalu,"Kalau kesana usahakan musim kemarau,,biar view nya bagus",positif,kalau kesana usaha musim kemaraubiar view nya bagus,positif
James Hermansyah,8 tahun lalu,Berkunjung Waktu Libur Panjang Dan Tahun Baru Rame Banget. Kalau Bawa Mobil Pribadi Mending Parkir Pintu Masuk Lalu Naik Ojek Motor Sampai Puncak Kelud.,negatif,kunjung waktu libur panjang dan tahun baru rame banget kalau bawa mobil pribadi mending parkir pintu masuk lalu naik ojek motor sampai puncak kelud,negatif
Nia aqila,4 tahun lalu,Gunung kelud terbaru setelah ppkm dibuka kembali..wisata alam yg menakjubkan..dari parkiran harus ngojek dulu..dg pemandangan yg indah..semua terbayarkan..👍 …,positif,gunung kelud baru telah ppkm buka kembaliwisata alam yg menakjubkandari parkir harus ngojek duludg pandang yg indahsemua bayar,positif
Ilham Zakaria,4 tahun lalu,Masya Allah pemandangannya sungguh amazing. Walau harus berjalan dari tempat terakhir pemberhentian kendaraan dng jarak kurang lbh 10 km (PP) tapi tidak membuat lelah karena sepanjang perjalanan disuguhi view yg mantap. Kekurangannya itu berupa sarana toilet yg minim di daerah dekat kawah.,positif,masya allah pandang sungguh amazing walau harus jalan dari tempat akhir henti kendara dng jarak kurang lbh km pp tapi tidak buat lelah karena panjang jalan suguh view yg mantap kurang itu upa sarana toilet yg minim di daerah dekat kawah,positif
Affan Ansori,3 bulan lalu,7 Desember aku ke situ sama ayah aku terus tinggi juga tapi kabut juga terus seperti raksasa tapi kawah indah banget,positif,desember aku ke situ sama ayah aku terus tinggi juga tapi kabut juga terus seperti raksasa tapi kawah indah banget,positif
momo artikka,9 tahun lalu,Tempatnya bagus . Tiket masuk untuk wisatawan juga murah. Setelah gerbang masuk kita di suguhkan pemandangan ladang warga yang luas yang saat saya kesana sedang panen buah nanas. …,positif,tempat bagus tiket masuk untuk wisatawan juga murah telah gerbang masuk kita di suguh pandang ladang warga yang luas yang saat saya kesana sedang panen buah nanas,positif
Mr. Day,8 tahun lalu,"Wisata alam yg OK bnget. Pmandangan bsgus, udaranya sejuk.
Ngomong'² kpan jalur mnuju kawah via kediri dibuka nich....?
Salam adventure..... …",positif,wisata alam yg ok bnget pmandangan bsgus udara sejuk ngomong kpan jalur mnuju kawah via diri buka nich salam adventure,positif
dimas wahyu widayat,Diedit 6 tahun lalu,"Salah satu tempat yang menarik di kediri,
-spot menarik pagi dan sore
-panas kl siang hari …",negatif,salah satu tempat yang tarik di diri spot tarik pagi dan sore panas kl siang hari,negatif
Nur Cholis,setahun lalu,"Lihat kawahnya sungguh indah ciptaan tuhan, sudah sering kesini dr jakarta ke Kediri gk bosan",positif,lihat kawah sungguh indah cipta tuhan sudah sering kesini dr jakarta ke diri gk bosan,positif
SSB,7 tahun lalu,"Suhunya yg sejuk menambah keindahan, lokasi nya tidak sulit dilalui. Jalan ke arah wisata tidak rusak, harga makanan standar. Sekarang masih renovasi.",positif,suhu yg sejuk tambah indah lokasi nya tidak sulit lalu jalan ke arah wisata tidak rusak harga makan standar sekarang masih renovasi,positif
Abrur Alaina,6 tahun lalu,"Masih cantik walau setelah meletus,  coba di perluas untuk spot foto yang mudah di jangkau maupun orang tua",positif,masih cantik walau telah letus coba di luas untuk spot foto yang mudah di jangkau maupun orang tua,positif
Levi Nabilla,7 tahun lalu,"Cukup capek saat jalan kaki. Buat anda yang tidak kuat buat jalan, di sana di sediakan ojek atau jika anda mengendarai motor sendiri, bisa dikendarai sampai atas.",negatif,cukup capek saat jalan kaki buat anda yang tidak kuat buat jalan di sana di sedia ojek atau jika anda kendara motor sendiri bisa kendara sampai atas,negatif
Atikah Rahmah,4 tahun lalu,"baru masuk area kelud ada komplek pemakamannya😭 tapi gapapa, kebayar sama pemandangan yg didapetin waktu udah masuk. udah ada jalannya, wes pokok garek enak e. mantap, salam arema. …",positif,baru masuk area kelud ada komplek makam tapi gapapa bayar sama pandang yg didapetin waktu udah masuk udah ada jalan wes pokok garek enak e mantap salam arema,positif
Zan Merry,6 tahun lalu,"Kalau dari Kediri untuk sampai ke kawah gunung Kelud bisa jalan kaki mulai dari parkiran mobil atau motor.. jarak nya lumayan jauh. Tapi jika tidak mau bersusah payah, dari tempat parkir mobil bisa naik ojek dgn membayar 50rb per orang …",negatif,kalau dari diri untuk sampai ke kawah gunung kelud bisa jalan kaki mulai dari parkir mobil atau motor jarak nya lumayan jauh tapi jika tidak mau susah payah dari tempat parkir mobil bisa naik ojek dgn bayar rb per orang,negatif
Retno Wulandari,6 tahun lalu,"Lagi musim kemarau, jadi banyak yang kering, tapi tetep bagus scenery nya, cocok buat yang suka hunting foto",positif,lagi musim kemarau jadi banyak yang kering tapi tetep bagus scenery nya cocok buat yang suka hunting foto,positif
Aan Abdul Rohman,setahun lalu,"Tempatnya masih enak banget
Wlwpn ga sampe ke puncak ke parkiran ini aja udh cukup …",positif,tempat masih enak banget wlwpn ga sampe ke puncak ke parkir ini aja udh cukup,positif
Sophian Whardana,2 tahun lalu,"Mantap , View Bagus Serasa Di Negeri Dongeng , Dunia Di Atas Awan , Sayang Untuk Naik Ke Atas Jalannya Cukup Curam , Jadi Akhirnya Foto Foto Di Sini Aja Sudah Sangat Puas",positif,mantap view bagus serasa di negeri dongeng dunia di atas awan sayang untuk naik ke atas jalan cukup curam jadi akhir foto foto di sini aja sudah sangat puas,positif
M. Arif Agus Sugiono,8 tahun lalu,Bagus sekali. Akses untuk kendaraan pribadi mudah. Untuk bis pariwisata juga ada mobil sutle untuk ke naik ke puncak. fasilitas dasar cukup memadai. Sepanjang jalan naik banyak disajikan pemandangan perkebunan nanas. Banyak spot yang bagus untuk berfoto ria. Tiket masuk tidak terlalu mahal. Rekomended,positif,bagus sekali akses untuk kendara pribadi mudah untuk bis pariwisata juga ada mobil sutle untuk ke naik ke puncak fasilitas dasar cukup pada panjang jalan naik banyak saji pandang kebun nanas banyak spot yang bagus untuk foto ria tiket masuk tidak terlalu mahal rekomended,positif
Nur Fajri Nishfi Sya'baniyah,setahun lalu,Kalau gak mendung dan hujan BAGUS BANGETTTT pemandangannya...,positif,kalau gak mendung dan hujan bagus bangetttt pandang,positif
Dhani Rizquna Aldino,2 tahun lalu,"One of best place in kediri City ❤️
Untuk akses sekarang sudah sangat mudah untuk di akses, Good job buat pengelola 👍 …",positif,one of best place in diri city untuk akses sekarang sudah sangat mudah untuk di akses good job buat kelola,positif
Mona Fresh,8 bulan lalu,"Gunung kebanggaan masyarakat Kediri 😍 View nya indah sekali, udaranya juga sejuk cenderung dingin. Tapi untuk pendaki wajib hati-hati, banyak jalan berbatu kecil² , licin, rawan bikin tergelincir …",positif,gunung bangga masyarakat diri view nya indah sekali udara juga sejuk cenderung dingin tapi untuk daki wajib hatihati banyak jalan batu kecil licin rawan bikin gelincir,positif
rendy uciha,8 tahun lalu,Gunung Kelud merupakan salah satu gunung yang menjadi tujuan wisata para wisatawan lokal maupun wisatawan asing. Tempat ini menyajikan pemandangan yang sangat indah ditambah dengan atmosfer udara yang sangat sejuk yang bisa membuat para pengunjung betah berada disini.,positif,gunung kelud rupa salah satu gunung yang jadi tuju wisata para wisatawan lokal maupun wisatawan asing tempat ini saji pandang yang sangat indah tambah dengan atmosfer udara yang sangat sejuk yang bisa buat para unjung betah ada sini,positif
Yusuf Budisantoso,4 tahun lalu,Gunung Kelud. Gunung berapi masih aktif di kabupaten Blitar. Jalur pendakian lewat Tulungrejo Wlingi sangat menantang. Tapi puas sampe kawah Kelud.,positif,gunung kelud gunung rap masih aktif di kabupaten blitar jalur daki lewat tulungrejo wlingi sangat tantang tapi puas sampe kawah kelud,positif
Kurang Kerjaan Bos,7 tahun lalu,"Sudah bisa naik sampai kawah lho. Tapi kendaraan pribadi tetep ditinggal di parkiran bawah. Untuk yang takut keringetan bisa naik ojek, tarifnya 40rb PP dari parkiran sampai kawah. Tapi kita jalan kaki, karena kita LAKI.",negatif,sudah bisa naik sampai kawah lho tapi kendara pribadi tetep tinggal di parkir bawah untuk yang takut keringetan bisa naik ojek tarif rb pp dari parkir sampai kawah tapi kita jalan kaki karena kita laki,negatif
Zulfikar Azaria,6 tahun lalu,"Berwisata ke gunung kelud ini memiliki keunikan tersendiri, dimana untuk sampai ke atas kita dapat menggunakan ojek yang harganya cukup terjangkau, usahakan datang saat langit cerah, karena medan yang dilalui didominasi tanah dan batu.",negatif,wisata ke gunung kelud ini milik uni sendiri mana untuk sampai ke atas kita dapat guna ojek yang harga cukup jangkau usaha datang saat langit cerah karena medan yang lalu dominasi tanah dan batu,negatif
Hrd Ptr,4 tahun lalu,"Tempatnya adem, nyaman dan indah. Akses jalan kesini juga bagus dan nyaman. Fasiltas wisata cukup lengkap.",positif,tempat adem nyaman dan indah akses jalan kesini juga bagus dan nyaman fasiltas wisata cukup lengkap,positif
Riyanto Arbie [cak rye],8 tahun lalu,Gunung Kelud yang terletak di sebelah tenggara Kediri dan sebelah Timur Lautnya Blitar memiliki keindahan alam yang sejuk..,positif,gunung kelud yang letak di belah tenggara diri dan belah timur laut blitar milik indah alam yang sejuk,positif
lina edmy,Diedit 7 tahun lalu,"Pendakian gunung kelud via tulungrejo,  blitar ini cocok untuk pendaki pemula.",positif,daki gunung kelud via tulungrejo blitar ini cocok untuk daki mula,positif
irwan supriadi,4 tahun lalu,Lokasi yg indah walau sdikit menakutkan krn terkenal sbg gunung berapi yg paling sering erupsi.,positif,lokasi yg indah walau sdikit takut krn kenal sbg gunung rap yg paling sering erupsi,positif
Siti Sholikah,8 tahun lalu,"Kemarin minggu kesana, baguuus banget. Baru pertama kali kesana, jalanan aspal bagus, kiri kanan banyak banget pohon dan tanaman nanas, dingin udaranya, gunungnya bagus banget",positif,kemarin minggu kesana baguuus banget baru pertama kali kesana jalan aspal bagus kiri kanan banyak banget pohon dan tanam nanas dingin udara gunung bagus banget,positif
Ririn Wu,2 tahun lalu,Bayar tiket masuknya murah dan sudah ada ojek bagi temen temen yg malas jalan kaki ke kawahnya. Bayar 40k atau 50k ke bapak ojeknya sudah deh sampe.,negatif,bayar tiket masuk murah dan sudah ada ojek bagi temen temen yg malas jalan kaki ke kawah bayar k atau k ke bapak ojek sudah deh sampe,negatif
Agus S,8 tahun lalu,Tempat wisata yg sangat bagus. Berada di pegunungan membuat udaranya sejuk dan bersih.,positif,tempat wisata yg sangat bagus ada di gunung buat udara sejuk dan bersih,positif
astri putri,6 tahun lalu,"Rekomen bgt untuk yg suka wisata alam . Udaranya sejuk, pemandangannya bagus bangeeet .. Jalannya jg udah dibeton jadi lancar . Klo mau menuju ke kawahnya harus naik ojek, 50 ribu PP",positif,rekomen bgt untuk yg suka wisata alam udara sejuk pandang bagus bangeeet jalan jg udah beton jadi lancar klo mau tuju ke kawah harus naik ojek ribu pp,positif
ER Art,Diedit 7 tahun lalu,Suasana gunung kelud ini pemandangannya sangat indah dan udaranya pun segar. Di foto itu ada sodara gw namanya syaddad .. siap hormatt 😂👍 …,positif,suasana gunung kelud ini pandang sangat indah dan udara pun segar di foto itu ada sodara gw nama syaddad siap hormatt,positif
Khibranbagas Dwiasmoro,5 tahun lalu,"The amazing place to visit even once. Recommended for volcano addict. It have mesmerizing landscape such as cliff, valley, rocky peak, crater lake and also challenging track. …",positif,the amazing place to visit even once recommended for volcano addict it have mesmerizing landscape such as cliff valley rocky peak crater lake and also challenging track,positif
Hanik Fitri,4 tahun lalu,"Gak sempat foto terowongan dan gak sempat foto selfie, 😄 cuma foto kawah aja..
Sekarang kawah nya bagus, warna nya biru, tp sayang kalo mau menuju ke kawah harus pakai jasa ojek yg harga nya cukup lumayan. Kalo gak mau ngojek bisa jalan kaki, tapi capek laahh.. Jalan kurleb jalan 3-5 km 😌 …",negatif,gak sempat foto terowongan dan gak sempat foto selfie cuma foto kawah aja sekarang kawah nya bagus warna nya biru tp sayang kalo mau tuju ke kawah harus pakai jasa ojek yg harga nya cukup lumayan kalo gak mau ngojek bisa jalan kaki tapi capek laahh jalan kurleb jalan km,negatif
fabyan adriansyah F12-2,2 tahun lalu,"wajib dikunjungi. pemandangan bagus, dari parkiran sepeda motor bisa langsung jalan kaki menuju kawahnya atau bisa naik ojek dengan harga 30rb sudah sampai di kawahnya.",negatif,wajib kunjung pandang bagus dari parkir sepeda motor bisa langsung jalan kaki tuju kawah atau bisa naik ojek dengan harga rb sudah sampai di kawah,negatif
Af Amn,Diedit 4 tahun lalu,"Kalau dari kampus Inggris pare,  sewa motor 50rb/3 jam...  Pergi lah rame-rame biar ada yang fotoin kamu...  Pemandangannya bagus...  tapi waktu aku pergi, cuaca sedang kabut tebal...  jadi tidak ada pemandangan....  yang ada hanya …",positif,kalau dari kampus inggris pare sewa motor rb jam pergi lah ramerame biar ada yang fotoin kamu pandang bagus tapi waktu aku pergi cuaca sedang kabut tebal jadi tidak ada pandang yang ada hanya,positif
Alvian Kyosan Denki,7 tahun lalu,"Rekreasi untuk kluarga....dengan pesona alam yg indah...sejuk ....segar....
Sangat sehat bila jalan kaki menuju kawah kelud☺",positif,rekreasi untuk kluargadengan pesona alam yg indahsejuk segar sangat sehat bila jalan kaki tuju kawah kelud,positif
chekly 49,6 tahun lalu,"Gersang dan panas kesan awal datang, untuk mencapai puncak bisa naik ojek dengan biaya 40 s.d 50 rb , start dari parkiran mobil pribadi (kecil). Jika datang bersama rombongan naik bis cuma sampai di tugu awal, dari situ ada angkutan yang …",negatif,gersang dan panas kesan awal datang untuk capai puncak bisa naik ojek dengan biaya sd rb start dari parkir mobil pribadi kecil jika datang sama rombong naik bis cuma sampai di tugu awal dari situ ada angkut yang,negatif
imjo 9874,6 tahun lalu,"Bagi anda traveller yang berada di Jawa Timur, rasanya masih kurang jika tidak mengunjungi wana wisata yang satu ini. Yups ! Gunung Kelud. Gunung berapi aktif yang berada di kawasan Perbatasan Kediri - Blitar ini bisa dijadikan list dalam …",negatif,bagi anda traveller yang ada di jawa timur rasa masih kurang jika tidak unjung wana wisata yang satu ini yups gunung kelud gunung rap aktif yang ada di kawasan batas diri blitar ini bisa jadi list dalam,negatif
ddwip story,3 tahun lalu,Agar tidak salah jalan saat gunakan maps sebaiknya gunakan pilihan mobil agar diberi arahan jalan besar (bukan jalan potong diperkampungan) dan coba tujuan destinasi di ketik gerbang kawasan wisata gunung kelud,positif,agar tidak salah jalan saat guna maps baik guna pilih mobil agar beri arah jalan besar bukan jalan potong kampung dan coba tuju destinasi di ketik gerbang kawasan wisata gunung kelud,positif
mas joko tresno,6 tahun lalu,"Tak lengkap rasanya kalau berwisata ke Kediri tanpa mampir ke gunung Kelud ini,
Akses lokasi nya yg mudah di jangkau dgn semua kendaraan,",positif,tak lengkap rasa kalau wisata ke diri tanpa mampir ke gunung kelud ini akses lokasi nya yg mudah di jangkau dgn semua kendara,positif
Asrul Najib,Diedit 8 tahun lalu,"Keindahan Gunung kelud 1.731 mdpl ini nggk kalah indahnya dngn gunung di atas 3000 mdpl lain nya..
Buat pendaki pemula gk prlu khawatir krna pengelola/warga skitar sngat ramah …",positif,indah gunung kelud mdpl ini nggk kalah indah dngn gunung di atas mdpl lain nya buat daki mula gk prlu khawatir krna pengelolawarga skitar sngat ramah,positif
Rahmad venture,6 tahun lalu,"Sayang sekali kesana pas musim hujan,jadi pemandangan tertutup mendung,,,saran buat pengelola tolong sediakan toilet umum dan tempat peristirahatan sepanjang perjalanan 3km terakhir menuju kawah gunung kelud",negatif,sayang sekali kesana pas musim hujanjadi pandang tutup mendungsaran buat kelola tolong sedia toilet umum dan tempat istirahat panjang jalan km akhir tuju kawah gunung kelud,negatif
Handoko Tony,7 tahun lalu,"Gunung Kelud sangat recomended buat pendaki yang suka track extreem .Tentunya lewat jalur pendakian via Blitar Gandusari .Dengan waktu tempuh dari pos pendakian 1/pendaftaran sekitar 3-4 jam,tergantung fisik dan cuaca .Tiket masuk pun juga …",positif,gunung kelud sangat recomended buat daki yang suka track extreem tentu lewat jalur daki via blitar gandusari dengan waktu tempuh dari pos daki daftar sekitar jamtergantung fisik dan cuaca tiket masuk pun juga,positif
Anita Gunawan,7 tahun lalu,"Saran saya kalo kesini enakan naik motor...karena kalo naik mobil, kalian pasti diturunin dipemberhentian terakhir dan disuruh nyewa motor...sebenarnya disini ga ada apa²nya...cuma saya suka pemandangannya yg indah dan perjuangan yg cukup …",positif,saran saya kalo kesini enak naik motorkarena kalo naik mobil kalian pasti diturunin henti akhir dan suruh nyewa motorsebenarnya sini ga ada apa nyacuma saya suka pandang yg indah dan juang yg cukup,positif
Emmats' Sai,Diedit setahun lalu,Gunung Kelud emang bagus buat para pecinta gunung walaupun jalannya udah di cor,positif,gunung kelud emang bagus buat para cinta gunung walaupun jalan udah di cor,positif
Baguss ADVENTURE,7 tahun lalu,"Sebuah keindahan karya tuhan yg terletak di kab. kediri jawa timur ini sungguh indah dan memanjakan mata, hamparan gunung yg di slimuti semak-semak hijau sangatlah mempesona.",positif,buah indah karya tuhan yg letak di kab diri jawa timur ini sungguh indah dan manja mata hampar gunung yg di slimuti semaksemak hijau sangat pesona,positif
eleanor zen,7 tahun lalu,"Gak pernah bosen yang kesini. Dah 3x ini saben ke kediri mampir kesini. View na keren, makanan yg di taman agro margomulyo nya murah n enak.",positif,gak pernah bosen yang kesini dah x ini saben ke diri mampir kesini view na keren makan yg di taman agro margomulyo nya murah n enak,positif
Ayuanita Petrisia,4 tahun lalu,"* letak strategis, jalan nya mudah aspal alus sampai parkiran atas
* masuk loket bayar karcis masuk kawasan wisata @10.000
* menerapkan prokes dimasa pandemi …",positif,letak strategis jalan nya mudah aspal alus sampai parkir atas masuk loket bayar karcis masuk kawasan wisata terap prokes masa pandemi,positif
saifudin zukhri,4 tahun lalu,"Salah satu gunung aktif di Jawa Timur
Kurang lebih satu jam dari Kota Kediri
Pemandangannya lumayan …",negatif,salah satu gunung aktif di jawa timur kurang lebih satu jam dari kota diri pandang lumayan,negatif
Hobi Apa saja,2 tahun lalu,Salah satu destinasi wisata alam Kediri yang wajib di kunjungi..,negatif,salah satu destinasi wisata alam diri yang wajib di kunjung,negatif
Dilanggar 12,sebulan lalu,Rekomendasi paling cocok dan terjamin kwalitas nya,positif,rekomendasi paling cocok dan jamin kwalitas nya,positif
Dee Moji,setahun lalu,"Tempatnya masih bagus, disini hanya ada kawah dan beberapa tebing. Jalanannya juga masih aman buat dilewati. …",positif,tempat masih bagus sini hanya ada kawah dan beberapa tebing jalan juga masih aman buat lewat,positif
Justang Fariel,3 tahun lalu,"Bagus banget, subuh2 ke sini jadi bisa lihat sunrise, udara sejuk dan asri.",positif,bagus banget subuh ke sini jadi bisa lihat sunrise udara sejuk dan asri,positif
ika trisna,setahun lalu,Sangat cocok sekali untuk pemula tektokan 🤣 …,positif,sangat cocok sekali untuk mula tektokan,positif
Diah Arwaningsih,7 tahun lalu,"Bagus, tanjankannya curam jadi harus hati hati. Lebih baik berkendara pribadi atau sewa.",positif,bagus tanjankannya curam jadi harus hati hati lebih baik kendara pribadi atau sewa,positif
Khoirul Rahman,7 tahun lalu,Tempatnya bagus. Tapi sayang kalo mau ke kawah harus sewa ojek. Kalau ga jalan jauh banget,negatif,tempat bagus tapi sayang kalo mau ke kawah harus sewa ojek kalau ga jalan jauh banget,negatif
Indah Csoff,4 tahun lalu,"Panorama yg menakjubkan..
Tiket murah. 10K utk weekend, 8K utk weekday.  Mobil cm bisa sampai di area parkir. Utk mencapai lokasi lahar dan gunung sumbing bs dicapai dgn jalan kaki yg …",positif,panorama yg takjub tiket murah k utk weekend k utk weekday mobil cm bisa sampai di area parkir utk capai lokasi lahar dan gunung sumbing bs capai dgn jalan kaki yg,positif
Galih Mahardhika,Diedit 7 tahun lalu,"Wisata yang menarik namun dalam tahap renovasi setelah erupsi, untuk bepergian kesana disarankan kendaraan dlm kondisi prima baik mobil dan sepedah montor, karena jalan menuju dan pulang membutuhkan skill dan pengereman yang pas, (khusus …",positif,wisata yang tarik namun dalam tahap renovasi telah erupsi untuk pergi kesana saran kendara dlm kondisi prima baik mobil dan dah montor karena jalan tuju dan pulang butuh skill dan rem yang pas khusus,positif
Zahrah Nida,7 tahun lalu,"Berangkat dari Malang jam 7 pagi dengan cuaca cerah. Alhamdulillah sampai di daerah Kediri cuacanya panas banget bikin pusing. Tapi semakin mendekati Kelud, awan semakin tebal. Padahal belum jam 12, nyatanya kabut sudah turun dan menginvasi …",negatif,berangkat dari malang jam pagi dengan cuaca cerah alhamdulillah sampai di daerah diri cuaca panas banget bikin pusing tapi makin dekat kelud awan makin tebal padahal belum jam nyata kabut sudah turun dan invasi,negatif
ajis blee,8 tahun lalu,"Tempatnya bagus,  fasilitas penunjang seperti toilet    jga sudah tersedia, untuk pengendara roda 4 Harus parkir soalnya  jalur yg k atas belum memadai untuk dilalui",positif,tempat bagus fasilitas tunjang seperti toilet jga sudah sedia untuk kendara roda harus parkir soal jalur yg k atas belum pada untuk lalu,positif
salyarto salyartto,setahun lalu,"Pemandangan bagus, ngga terlalu jauh dr kota kediri,,danaunya udah hilang waktu letusan besar terakhir,,mbl ngga bisa ke puncak kawah, hrs naik ojek (banyak n harga udah pass standard ,ga perlu tawar2 harga)",negatif,pandang bagus ngga terlalu jauh dr kota kediridanaunya udah hilang waktu letus besar terakhirmbl ngga bisa ke puncak kawah hrs naik ojek banyak n harga udah pass standard ga perlu tawar harga,negatif
Nadila Dwi Hartanti,8 tahun lalu,"Perjalan menuju ke sana paling seru,apalagi kalau naik sepedah motor.jalannya bagus sudah aspal semua.di bahu jalan banyak tumbuhan nanas.dulu sih kesini waktu habis meletus,jadi cuma bisa sampai radius 3km dari puncak.banyak spot foto.",positif,jalan tuju ke sana paling seruapalagi kalau naik dah motorjalannya bagus sudah aspal semuadi bahu jalan banyak tumbuh nanasdulu sih kesini waktu habis meletusjadi cuma bisa sampai radius km dari puncakbanyak spot foto,positif
Fitria Dyh,2 tahun lalu,"pemandangan bagus bgt, sejuk dan asri tersedia ojek juga😗💗💗 …",positif,pandang bagus bgt sejuk dan asri sedia ojek juga,positif
Tri Wahyuningsih,9 tahun lalu,Kurang suka.. karena waktu kesana lewat kediri dan ternyata tdak boleh mendekati kawah.. pdhal keindahan utamanya berada di kawahnya.. tetapi lain dripda itu sepanjang jalan ktika traking ke puncak kita di suguhi pemandangan yg menghijau …,positif,kurang suka karena waktu kesana lewat diri dan nyata tdak boleh dekat kawah pdhal indah utama ada di kawah tetapi lain dripda itu panjang jalan ktika traking ke puncak kita di suguh pandang yg hijau,positif
Hammamnash,6 tahun lalu,"Keren, saya sarankan berangkat siang karena cahaya akan lebih bagus saat sore hari disana",positif,keren saya saran berangkat siang karena cahaya akan lebih bagus saat sore hari sana,positif
Maulina Assarah,6 tahun lalu,so happy! meskipun jarak tempuh yang sangat jauh tp nggak akan nyesel karena disuguhkan dengan hamparan pohon pohonn yang bikin mata seger hehe,negatif,so happy meski jarak tempuh yang sangat jauh tp nggak akan nyesel karena suguh dengan hampar pohon pohonn yang bikin mata seger hehe,negatif
ferry prazt,6 tahun lalu,"Pemandangan yg sangat indah, selalu pas mendung dan gerimis pas kesini",positif,pandang yg sangat indah selalu pas mendung dan gerimis pas kesini,positif
Irfan Wahyudi,6 tahun lalu,"Untuk menuju ke sini jalanan sudah di aspal, dan bagusnya semua tarif diseragamkan dan dipasang tulisan sehingga tidak membuat pengunjung menjadi ragu karena khawatir harga yg tdk sewajarnya",positif,untuk tuju ke sini jalan sudah di aspal dan bagus semua tarif seragam dan pasang tulis sehingga tidak buat unjung jadi ragu karena khawatir harga yg tdk wajar,positif
Lemon Influence,Diedit 3 tahun lalu,Sejuk banget rekomen buat wisata tapi sayangnya buat naik ke atas harus pakai ojek hehe tapi mantep banget si 👍 untuk hari biasa 8 ribu kalau hari libur 10 rb ojeknya 30 rb PP (cmn sedikit info buat yg belum tau) 🙏👏 …,negatif,sejuk banget rekomen buat wisata tapi sayang buat naik ke atas harus pakai ojek hehe tapi mantep banget si untuk hari biasa ribu kalau hari libur rb ojek rb pp cmn sedikit info buat yg belum tau,positif
Lala Chan4,7 tahun lalu,"Viewnya good, dan amazing.
Tidak seramai wisata pendakian gunung yang lain, contoh bromo atau ijen, tapi oke juga kog medannya. …",positif,viewnya good dan amazing tidak serama wisata daki gunung yang lain contoh bromo atau ijen tapi oke juga kog medan,positif
PawonArt,7 tahun lalu,Sekali kesana..penasaran merasakan fenomena di titik nol..selain melihat  pncak g Kelud.. Sippp mantabbbb 👍 …,positif,sekali kesanapenasaran rasa fenomena di titik nolselain lihat pncak g kelud sippp mantabbbb,positif
abadi sejahtera coating,3 tahun lalu,Siang hari diatas jam 2 merupakan waktu terbaik untuk berkunjung ke tempat ini.,positif,siang hari atas jam rupa waktu baik untuk kunjung ke tempat ini,positif
Johan Nur Cahyo (Johan),7 tahun lalu,"Belum ada landmark untuk lokasi ini pasca letusan terakhir, dan tak seindah sebelum letusan dulu.",positif,belum ada landmark untuk lokasi ini pasca letus akhir dan tak indah belum letus dulu,positif
choiruel blitar,8 tahun lalu,"Wisata alam yang sejuk, pas aku kesana nyampek puncak hujann",positif,wisata alam yang sejuk pas aku kesana nyampek puncak hujann,positif
Sandy 94,2 tahun lalu,"Gunung yg meninggalkan kawah bekas letusan, sangat sejuk & cocok buat liburan keluarga",positif,gunung yg tinggal kawah bekas letus sangat sejuk cocok buat libur keluarga,positif
WP 007,setahun lalu,Salah satu gunung yang indah di jawatimur dan langsung sampai kawahnya,positif,salah satu gunung yang indah di jawatimur dan langsung sampai kawah,positif
boss jeruk,8 tahun lalu,Rasa lelah bersepedah terbayar sudah sampai di puncak gunung kelud yang indah dan sejuk,positif,rasa lelah dah bayar sudah sampai di puncak gunung kelud yang indah dan sejuk,positif
jati ganda,6 tahun lalu,"Tempat nya bagus, indah ...
Saran saya kalo kesana bawa minum n makanan karena di sana gak ada yang jualan makanan n minuman ... …",positif,tempat nya bagus indah saran saya kalo kesana bawa minum n makan karena di sana gak ada yang jual makan n minum,positif
Batik Madrim,8 tahun lalu,"Pemandangannya bagus, mudah dijangkau baik sepeda maupun mobil.",positif,pandang bagus mudah jangkau baik sepeda maupun mobil,positif
